"","AU-Tum","BR-Sa1","FI-Hyy","FR-Pue","GF-Guy","RU-Cok","RU-Fyo","RU-Sam","US-Blo","US-Ha1","US-PFa","US-SRM","US-UMB","US-Wkg","ZA-Kru"
"1991",469.09695648792,2475.43049632804,693.445568927018,759.878212874173,2971.1585661862,28.3775615178115,1030.95675153836,155.825454077285,380.845426762244,1013.50358720292,993.911213959473,254.640986869299,382.864466884485,237.697097337514,148.08916684641
"1992",755.610312850331,2523.04822455626,670.363130816804,904.525690701121,2838.26628131792,22.8410003592156,825.425957355037,149.81974873379,383.086237670796,1005.7168148669,924.110580122215,232.706139076618,380.522434209706,247.133391724492,104.550315974848
"1993",769.853815465467,2625.83443780895,687.187241915581,941.190563561395,3089.68088461552,26.2381150469032,924.093545755568,159.534262778436,429.633642898989,1038.43692269993,957.38602372785,213.667232729495,384.195051092956,209.795068377571,315.572223628988
"1994",510.714995788294,2632.55712313112,635.902788237581,765.152634985861,2977.01459017117,22.8756824062003,924.264336254419,155.988385195917,376.659395510796,1101.73934319323,988.103249264896,183.161136684066,385.863640052503,220.635332416714,139.764415734135
"1995",638.663143451413,2594.05860118568,669.059485769276,769.618861656636,3055.11651327834,30.1267760889402,891.5892256593,154.613934814415,424.026719581161,979.753594909198,958.313388389251,250.902983564447,387.693274499907,277.556572722369,289.578602528127
"1996",765.872789954301,2665.05267333705,660.106249504952,806.204036349664,3030.89446539525,19.3664337724385,913.863370933177,146.131015341427,421.49059525982,1021.27528440615,937.519560050441,154.199428824359,383.913520011629,204.067709782248,304.601984757028
"1997",429.238902859652,2554.58392373985,670.295271549185,975.135947013041,2997.69911323674,27.0946590815726,874.26951051284,166.091099916366,377.041212875338,908.59174772927,922.687114475957,210.585557113518,380.090665460466,161.422581227089,260.145562752587
"1998",424.42277220689,2655.01121641137,675.103434064386,805.056993711332,3123.16672943998,26.9054787036367,945.316163317693,153.607175211039,508.966007494018,1203.7093945115,1027.91807718277,226.020337937916,385.280934181901,269.905522688532,230.658486790935
"1999",705.039037554525,2675.51927003078,684.154353306576,839.771148610453,3140.52707834635,23.3963377221812,856.588790658679,167.647770761789,400.264462371706,1040.39424117655,1060.24932956361,141.846683371477,388.34691318666,228.340427900548,311.372536607087
"2000",758.520611340646,2656.33501731791,705.252107879915,1022.84521246038,3122.87560938857,22.1090340615206,928.172940486729,166.05064874218,447.127993959293,1102.27763677676,993.8789624322,163.487158705539,386.75360413481,169.664182308043,405.687705927267
"2001",520.656338057597,2547.68612055341,690.851504636566,820.23319756554,3120.44342143927,24.7909242619727,954.05476029573,158.384779331232,417.741616831336,988.513458058242,1054.55173744995,183.942788358218,388.199891118438,155.988510302268,227.07980367868
"2002",505.689662085206,2503.69874441531,679.241386851845,849.273587057542,2987.97316644341,28.3538610904884,820.819167813966,163.889560838402,402.59632573725,1050.71059484417,997.546808399602,173.081489137439,388.63966978297,204.640493953957,203.085054548137
"2003",501.219255765318,2715.78544545919,661.485017130053,785.723100727773,3012.12385457475,28.2219423053959,859.74636869214,156.671950067823,456.963608028309,1106.14109231001,1022.76962299402,243.184008061507,389.198935466538,259.638558319884,187.108565395829
"2004",667.501895176247,2577.77841514908,698.124993726742,749.022614804562,3093.31483757123,24.4674168861216,977.23269496928,145.732405115564,412.111403360905,1192.03651745229,1046.45838827237,199.159880398446,391.619464487303,200.933789180999,298.939433678242
"2005",696.874001652395,2569.54312864691,716.750408537609,699.942182263476,3007.45422025211,34.2307032408939,1027.84873398432,174.386216394055,425.99448395631,1149.01122106903,1076.74880508821,174.034048548629,389.574812176852,174.771067963547,185.160760029794
"2006",507.527659865445,2573.06676548906,640.984851992289,834.508201566496,3031.71535714064,27.9594682571656,1002.60660203348,176.796633743652,507.85007764207,1201.44151044042,1050.93540913185,162.615420007569,389.238923082394,205.780538317867,318.711495471734
"2007",552.270502738247,2617.92357433587,731.280778905057,973.429787519854,3059.18298249599,35.1399071641026,1001.27370181799,175.971471631215,460.26658321498,1086.58702155644,897.675345066273,218.040047443264,384.754279487697,233.910659668481,198.762427519978
"2008",654.166438471293,2684.62604898959,716.56032546216,949.335229719873,2960.19156924449,26.7315612945225,1038.54856575308,154.601246233528,389.474910765421,1175.21720159366,960.715208577312,215.186468452703,388.341533820767,224.74525158359,143.931579750232
"2009",603.987671061623,2471.28743076464,725.577448123022,835.770570502791,2883.36532067042,27.3771744990199,1060.26253755135,160.494292582723,440.143621285097,1202.23826635402,864.821088362442,164.203702023224,388.376559038898,171.284501513264,291.212841196102
